Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H1_MASE_mean,H1_MASE_std,H1_SMAPE_mean,H1_SMAPE_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H3_MASE_mean,H3_MASE_std,H3_SMAPE_mean,H3_SMAPE_std
NHits,P1 Linear,5,3.132106,0.07908095866894885,5.5863398,0.07086898378952537,2.75108,0.052492986198157975,3.1478309999999996,0.08112255792934538,57.072,1.2361779807131335,0.96631,0.0008623011075024697,0.6483410000000001,0.016369747169703026,2.7540799999999996,0.051943754196245785,5,5.1407378,0.16353481225891928,8.934466400000002,0.20847641068821146,4.54732,0.12011869796164108,5.174335,0.1666903845052257,45.614,3.4378691074559553,0.9133632,0.0041029566120055205,1.0657686,0.03390387959275454,4.60456,0.12319983116871558
Autoformer,P2 Transformer,5,3.1454128,0.07407035001510386,5.718515200000001,0.08869455044229038,2.74868,0.052504605512278646,3.1308875,0.07617807584042793,56.465999999999994,1.2511210972563769,0.964694,0.0010882464794337622,0.6510952,0.0153324114398225,2.75366,0.052573476202358915,5,5.3626038000000005,0.046402912742197586,9.8277498,0.09205932590976325,4.69478,0.03743289462491512,5.34294975,0.027570445801391945,49.99999999999999,3.042952513595965,0.895221,0.001976024392561986,1.1117656,0.009620200363817775,4.82376,0.03236019777442649
GUMNet_Decomp,P8 GUMNet Ours,5,3.1537824,0.08622194722598187,5.621694400000001,0.18219091753279018,2.7285800000000004,0.07007180317360187,2.19216925,0.07883396873294846,55.153999999999996,0.7424715482764318,0.9658518,0.0022450219063519165,0.6528280000000001,0.01784792930286312,2.73972,0.07044908516084507,4,5.1702955,0.14259227806669617,9.03886425,0.3425101733090387,4.55525,0.10350020531380598,3.61459725,0.12435326243483733,46.94,1.196056018754973,0.9112477499999999,0.0068624351863970515,1.0718965,0.029562130822219125,4.6045750000000005,0.12357927364651408
CARD,P3 Inverted,5,3.1652207999999997,0.04447049472807782,5.6919846,0.19236360007818543,2.7670000000000003,0.03242326325341113,3.1790725,0.03889322771704602,54.041999999999994,2.840580222419358,0.9649892000000001,0.0023242420183793395,0.6551958000000001,0.009205217138123351,2.7727399999999998,0.03398791549948302,5,5.1605897999999994,0.12528475893802865,9.0709156,0.13106235738090447,4.526940000000001,0.088569353616248,5.110316,0.08356472757988267,48.164,3.6004699693234485,0.9107265999999999,0.002567351756187673,1.0698844,0.025973878667615285,4.56644,0.10036452759815113
GUMNet_iTrans,P8 GUMNet Ours,5,3.1694096000000003,0.12239036399749782,5.6665986,0.2842895230349511,2.7338999999999998,0.09241231519662303,2.219197,0.10369208701487297,54.24400000000001,1.2217135507147316,0.9652533999999999,0.003435963073142669,0.6560628,0.0253345170816418,2.7318000000000002,0.0951706467352198,5,5.2437696,0.2872737956950476,9.315292,0.4479890830558261,4.58722,0.223326580594429,3.6846298000000006,0.16164547850082295,48.470000000000006,1.8246314696398283,0.9056536,0.009226013106429011,1.0871292000000001,0.05955707461385259,4.58776,0.21587132834167663
TEMPO,P6 Foundation,5,3.183493,0.09010913774085288,5.7804558,0.13405378449473182,2.80562,0.0658843046559649,3.1642805,0.09112612193685185,57.678,1.2524120727619967,0.9639139999999999,0.0016661598962884594,0.6589780000000001,0.018652530948908782,2.8076999999999996,0.06943149141419905,5,5.371999199999999,0.10088087040544409,9.7862686,0.17668403102442518,4.6915,0.0726719202993838,5.371999199999999,0.10088087040544409,48.674,1.1449471603528263,0.8960788,0.0037480433508698774,1.1137134,0.020914446419640197,4.79844,0.08414776527038625
S_Mamba,P5 SSM,5,3.1912474,0.08415251803624182,5.9729966,0.10379443813153008,2.80572,0.06390813406758168,3.15739175,0.055866203380823265,57.577999999999996,1.779993258414201,0.9614794,0.0013491361087748148,0.6605829999999999,0.01741917039356352,2.81716,0.06526553761365954,5,5.2413362,0.20959238091438348,9.5586582,0.6396491680586788,4.61062,0.16938309714962685,5.2413362,0.20959238091438348,50.918,2.819336092061391,0.9004448,0.012635320326766548,1.0866243999999998,0.04345243662488904,4.732200000000001,0.20655663630103974
GUMNet_MoE_Sparse,P8 GUMNet Ours,5,3.2045597999999997,0.03634628203489326,5.8409138,0.07397980273939643,2.7725,0.0351770948203514,2.347756,0.030768308273286703,56.767999999999994,2.5860038669731336,0.9631692,0.0009384705429580881,0.6633387999999999,0.0075235900579444254,2.76762,0.03717538970878457,1,5.088237,0.0,8.831468,0.0,4.509,0.0,3.472369,0.0,45.92,0.0,0.915395,0.0,1.054884,0.0,4.5518,0.0
GUMNet_Mamba,P8 GUMNet Ours,5,3.2093523999999993,0.06052816685345757,5.6562176,0.10148169967555709,2.77596,0.04315157471054799,2.265375,0.05596071801272755,58.38599999999999,1.1342592296296297,0.9654562,0.0012440818944104695,0.6643307999999999,0.012529196836190257,2.77878,0.04409532401513798,5,5.181901,0.08399506322159654,9.0511342,0.20354206126832838,4.55718,0.07052838861054468,3.6901658000000004,0.1069143317154439,43.26800000000001,1.6884004264391772,0.9110889999999999,0.004023889958733962,1.0743024,0.017413941169074822,4.5941,0.06762546857508656
FITS,P4 Frequency,5,3.215348,0.08498807681080918,5.779377,0.09911958216820725,2.7885,0.07005937481879206,3.1791945,0.04993334245521729,54.75,1.6450531906294097,0.9639365999999999,0.0012358245182872722,0.6655719999999999,0.017592351315273345,2.79446,0.06841220943662027,5,5.0826208,0.11441854295069478,8.864260400000001,0.20594491593491715,4.47728,0.07188962094767246,5.09139875,0.1264090253213254,42.758,1.492131361509434,0.91472,0.003964443466616744,1.0537198,0.023721000496606384,4.550579999999999,0.08771817143556969
