Model,Paradigm,XANG_Seeds,DAU_Seeds,XANG_MAE_mean,XANG_MAE_std,DAU_MAE_mean,DAU_MAE_std,XANG_RMSE_mean,XANG_RMSE_std,DAU_RMSE_mean,DAU_RMSE_std,XANG_MAPE_mean,XANG_MAPE_std,DAU_MAPE_mean,DAU_MAPE_std,XANG_CRPS_mean,XANG_CRPS_std,DAU_CRPS_mean,DAU_CRPS_std,XANG_DA_mean,XANG_DA_std,DAU_DA_mean,DAU_DA_std,XANG_R2_mean,XANG_R2_std,DAU_R2_mean,DAU_R2_std,XANG_MASE_mean,XANG_MASE_std,DAU_MASE_mean,DAU_MASE_std,XANG_SMAPE_mean,XANG_SMAPE_std,DAU_SMAPE_mean,DAU_SMAPE_std
TimesNet,P4 Frequency,5,1,3.080793,0.0919001767745851,6.076808,0.0,5.644068200000001,0.07991506523653726,11.813224,0.0,2.71444,0.06977250461320704,3.5379,0.0,3.0711795,0.10047365924833228,,0.0,56.668000000000006,2.1500641850884374,58.08,0.0,0.9656086,0.000974292071198354,0.959254,0.0,0.6377193999999999,0.019023096462984154,1.067556,0.0,2.7171999999999996,0.07179565446459843,3.5311,0.0
TimeMixer,P4 Frequency,5,1,3.082373,0.05514758011735427,5.745297,0.0,5.6647238,0.07259153755473165,11.153752,0.0,2.71776,0.03777049642247241,3.346,0.0,3.07192825,0.05706229471540301,5.745297,0.0,55.964,1.5116295842566743,60.1,0.0,0.9653577999999999,0.000890021662657712,0.963676,0.0,0.6380464,0.011415552997555554,1.009317,0.0,2.7203,0.040814801236806246,3.3479,0.0
Chronos,P6 Foundation,5,1,3.0842994,0.0687526762405653,6.121828,0.0,5.526313,0.19984218568560533,11.773999,0.0,2.7053400000000005,0.05561257411772989,3.5416,0.0,3.0944705,0.07342619925305946,,0.0,59.29599999999999,2.5853788890605576,60.1,0.0,0.9669924,0.0024136573576214425,0.959524,0.0,0.6384449999999999,0.014231575555784429,1.075465,0.0,2.7009000000000003,0.05397569823540955,3.5365,0.0
TFT,P2 Transformer,5,1,3.0885796,0.07172130835560662,5.880954,0.0,5.703283600000001,0.12092938170287641,11.386556,0.0,2.70102,0.05267691714593775,3.427,0.0,3.064643,0.05970869695865094,,0.0,58.486000000000004,1.9554191366558717,60.1,0.0,0.9648745999999999,0.001474003880591925,0.962144,0.0,0.6393312,0.014846013867702002,1.033149,0.0,2.6966200000000002,0.05278823353740863,3.4232,0.0
CoST,P4 Frequency,5,1,3.0904716,0.05131546048356192,6.107552,0.0,5.6545096,0.09685940696617958,11.757786,0.0,2.72234,0.0457182064390107,3.5649,0.0,3.11293075,0.027740376929441767,,0.0,56.86999999999999,1.37775179186964,55.56,0.0,0.9654780000000001,0.001180607301349603,0.959635,0.0,0.6397228,0.010622243838285764,1.072957,0.0,2.7250199999999998,0.044377624992782014,3.5765,0.0
GUMNetHet,P8 GUMNet Ours,5,1,3.0945244,0.15419919949934888,5.602343,0.0,5.559226000000001,0.3101979297809705,11.381993,0.0,2.71062,0.1319887176996579,3.2397,0.0,2.9405324,0.4601874507630994,4.777177,0.0,62.434000000000005,14.549373319837523,84.92,0.0,0.9665376,0.003642879663123681,0.962174,0.0,0.6405614,0.0319188115856465,0.984203,0.0,2.7124800000000002,0.13106890401617016,3.264,0.0
Time_MoE,P7 SparseMoE,5,1,3.1002506,0.08132628560705325,5.74584,0.0,5.590589,0.07421605777458141,11.1504,0.0,2.71494,0.06420226164240635,3.3739,0.0,3.0903985,0.08821641877366139,,0.0,55.355999999999995,0.8224986322177085,59.6,0.0,0.9662580000000001,0.0008894312789642571,0.963698,0.0,0.6417468,0.016834579453018736,1.009413,0.0,2.72018,0.06250857221213746,3.3842,0.0
GUMNet_Graph,P8 GUMNet Ours,5,1,3.1018552,0.04012576239475083,6.108421,0.0,5.596563,0.07994870044972563,11.951983,0.0,2.7089999999999996,0.036407801361796,3.4897,0.0,2.2133626,0.02661476620675071,,0.0,58.588,2.142534947206228,62.63,0.0,0.9661852,0.0009747531790150796,0.958291,0.0,0.642079,0.008305950373075941,1.07311,0.0,2.7072200000000004,0.03214308012621073,3.4619,0.0
TTM,P4 Frequency,5,1,3.1027086,0.04039465084191216,6.063214,0.0,5.500052799999999,0.1391850849012206,12.070243,0.0,2.7174400000000007,0.03142722386721422,3.5016,0.0,3.1089167499999997,0.04297620433085606,,0.0,58.184000000000005,0.7424715482764324,61.62,0.0,0.9673269999999998,0.0016307327187494918,0.957461,0.0,0.6422558,0.00836163575863001,1.065168,0.0,2.7243600000000003,0.03428116684128478,3.4998,0.0
Gated_TabNet,P7 SparseMoE,5,1,3.1177802000000003,0.05818546696349525,6.265824,0.0,5.616868200000001,0.08260472176673664,11.72415,0.0,2.72744,0.04227891200113835,3.6706,0.0,3.121331,0.06456697920764139,,0.0,60.102,1.5337196614766346,60.61,0.0,0.9659388,0.0010092760573797526,0.959866,0.0,0.6453754,0.012044443127019168,1.100762,0.0,2.72218,0.04585470095857131,3.6635,0.0
