target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std,picp_mean,picp_std,pinaw_mean,pinaw_std
DAU,10,GUMNet_Wavelet,3,11.563799666666666,0.2429049917484892,21.238369666666667,0.37629500844461594,7.810199999999999,0.1639843590102421,8.354244,0.20998225076658267,73.89,0.9693812459502222,0.11617666666666666,0.0019431609128770834
DAU,10,GUMNet_iTrans,3,11.941831333333333,0.08802494210355039,21.72357166666667,0.4618765775662744,8.062633333333332,0.05024503292200454,8.433688666666667,0.1791623703022861,75.59666666666666,1.3580255274969353,0.12600633333333333,0.0035663731343387687
DAU,10,NBEATS,3,12.037411999999998,0.3141475238275809,22.408283,0.7126749352264325,8.153833333333333,0.18328246870154588,9.286143333333333,0.271188320973329,66.41000000000001,0.5574943945906524,0.07627099999999999,0.00022538189811961248
DAU,10,NHits,3,11.815087666666665,0.010451878029011047,21.920790999999998,0.04729566149236136,7.977633333333333,0.001985782801147724,9.085397333333333,0.007702951533881416,66.49666666666667,0.5316327052894047,0.07617933333333334,0.00021135830556979297
DAU,10,PatchTST,3,11.790409333333335,0.12649766152120479,21.52938633333333,0.0850874357489592,7.969,0.08680737295875308,9.050677333333333,0.08683416925573353,66.58,0.8140638795573704,0.07610033333333333,0.00016326767387738443
DAU,10,TFT,3,11.783773333333334,0.5044551052336899,21.483058,0.33028038290670503,8.059433333333333,0.32665486883457506,8.806256666666666,0.3588191047315255,68.07333333333332,2.35434350368278,0.08616533333333333,0.00037037053518515067
DAU,10,TimesNet,1,12.885083,,23.553403,,8.7589,,9.984276,,63.21,,0.077604,
DAU,10,iTransformer,1,11.729006,,21.828626,,7.8996,,8.995736,,68.33,,0.076705,
DAU,20,DLinear,3,13.315324333333335,0.08670211855735285,27.01235733333333,0.09563908639428564,9.310166666666667,0.06907621394759023,10.461786333333334,0.10916069616090417,72.89999999999999,0.8001874780324989,0.085687,0.00027334227627646626
DAU,20,GUMNetHet,3,13.337956666666665,0.37670147366360845,26.819565,0.5573848129048743,9.3404,0.2849078973984401,10.116567666666667,0.21326781343262602,78.64666666666666,1.4670151101244049,0.10946800000000001,0.0014887844034647847
DAU,20,GUMNet_Adaptive,3,13.723606666666667,0.4087493104891226,27.574475666666668,0.8792523236422707,9.517066666666667,0.19177122655219575,10.133882333333334,0.6600150523566374,78.85333333333334,1.340758491799825,0.11799466666666665,0.007214948463664402
DAU,20,GUMNet_Decomp,3,13.212354,0.17841576646417853,26.298148666666666,0.13614597781915258,9.369666666666667,0.19068312283296968,9.996744333333334,0.0513494990465665,75.66333333333334,0.35949038002891776,0.10457366666666668,0.0010175020065500361
DAU,20,GUMNet_Fusion,3,13.601719333333333,0.37934544630762806,27.28356066666667,0.6825647132524024,9.548866666666667,0.23291033324722457,10.063977666666666,0.009857176793247272,80.0,1.0152832117197703,0.12800966666666666,0.0012563157777140705
DAU,20,GUMNet_Mamba,3,13.247981000000001,0.26839296940680113,26.525757666666667,0.1941723106143941,9.3693,0.2838471595771212,10.021921333333333,0.1086946596403579,79.83,3.007640271043065,0.11405266666666668,0.0022137575145741105
