Baseline_Model,Champion_Model,Target,Horizon,Cliff_Delta,A12,Magnitude
TimeXer,GUMNet_Fusion,XANG,7,0.03457263177379799,0.517286315886899,negligible
Crossformer,GUMNet_Fusion,XANG,7,0.024052940904252917,0.5120264704521265,negligible
CARD,GUMNet_Fusion,XANG,7,0.005561571567402446,0.5027807857837012,negligible
TimesNet,GUMNet_Fusion,XANG,7,0.00884631403581837,0.5044231570179092,negligible
TimeMixer,GUMNet_Fusion,XANG,7,0.01582349946781436,0.5079117497339072,negligible
TTM,GUMNet_Fusion,XANG,7,0.02987736591235124,0.5149386829561756,negligible
FITS,GUMNet_Fusion,XANG,7,0.022774307001712346,0.5113871535008562,negligible
CoST,GUMNet_Fusion,XANG,7,0.010597436253412917,0.5052987181267065,negligible
TimeMachine,GUMNet_Fusion,XANG,7,0.022804387060946896,0.5114021935304734,negligible
S_Mamba,GUMNet_Fusion,XANG,7,0.02364662871951495,0.5118233143597575,negligible
MambaFormer,GUMNet_Fusion,XANG,7,0.01981026424175103,0.5099051321208755,negligible
BiMamba,GUMNet_Fusion,XANG,7,0.043932620667314515,0.5219663103336573,negligible
Chronos,GUMNet_Fusion,XANG,7,0.012080151788606663,0.5060400758943033,negligible
TimesFM,GUMNet_Fusion,XANG,7,0.038247026701837106,0.5191235133509186,negligible
Moirai,GUMNet_Fusion,XANG,7,0.02153917349252632,0.5107695867462632,negligible
Lag_Llama,GUMNet_Fusion,XANG,7,0.020445184876671796,0.5102225924383359,negligible
TEMPO,GUMNet_Fusion,XANG,7,-0.008054051552593866,0.49597297422370307,negligible
GPT4TS,GUMNet_Fusion,XANG,7,0.006520431301772378,0.5032602156508862,negligible
Time_MoE,GUMNet_Fusion,XANG,7,0.03716599564996059,0.5185829978249803,negligible
Gated_TabNet,GUMNet_Fusion,XANG,7,0.0022166689805174222,0.5011083344902587,negligible
DLinear,GUMNet_Fusion,XANG,10,0.015563839579224137,0.5077819197896121,negligible
RLinear,GUMNet_Fusion,XANG,10,0.008042340565417527,0.5040211702827088,negligible
LTSF_Linear,GUMNet_Fusion,XANG,10,0.015005522682445704,0.5075027613412229,negligible
NBEATS,GUMNet_Fusion,XANG,10,-0.0004902038132806874,0.49975489809335966,negligible
NHits,GUMNet_Fusion,XANG,10,0.00548783694937538,0.5027439184746877,negligible
PatchTST,GUMNet_Fusion,XANG,10,0.007323208415516147,0.5036616042077581,negligible
TFT,GUMNet_Fusion,XANG,10,0.04272071005917155,0.5213603550295858,negligible
Autoformer,GUMNet_Fusion,XANG,10,0.013817619986850715,0.5069088099934254,negligible
FedFormer,GUMNet_Fusion,XANG,10,0.02320289283366206,0.511601446416831,negligible
Informer,GUMNet_Fusion,XANG,10,0.0003054569362261894,0.5001527284681131,negligible
Reformer,GUMNet_Fusion,XANG,10,0.008012886259040064,0.50400644312952,negligible
iTransformer,GUMNet_Fusion,XANG,10,0.01397961867192632,0.5069898093359632,negligible
UniTS,GUMNet_Fusion,XANG,10,0.010935174227481914,0.505467587113741,negligible
TimeXer,GUMNet_Fusion,XANG,10,0.006951873767258476,0.5034759368836292,negligible
Crossformer,GUMNet_Fusion,XANG,10,0.003066272189349073,0.5015331360946745,negligible
CARD,GUMNet_Fusion,XANG,10,-0.005929783037475378,0.4970351084812623,negligible
TimesNet,GUMNet_Fusion,XANG,10,0.00916528599605515,0.5045826429980276,negligible
TimeMixer,GUMNet_Fusion,XANG,10,0.03212373438527294,0.5160618671926365,negligible
TTM,GUMNet_Fusion,XANG,10,0.009674950690335304,0.5048374753451677,negligible
FITS,GUMNet_Fusion,XANG,10,0.004941354372123508,0.5024706771860618,negligible
CoST,GUMNet_Fusion,XANG,10,0.0007301775147929845,0.5003650887573965,negligible
TimeMachine,GUMNet_Fusion,XANG,10,0.017349769888231448,0.5086748849441157,negligible
S_Mamba,GUMNet_Fusion,XANG,10,0.008669033530571912,0.504334516765286,negligible
MambaFormer,GUMNet_Fusion,XANG,10,-0.00045299145299149135,0.49977350427350425,negligible
BiMamba,GUMNet_Fusion,XANG,10,0.011398750821827841,0.5056993754109139,negligible
Chronos,GUMNet_Fusion,XANG,10,0.0016792899408284434,0.5008396449704142,negligible
TimesFM,GUMNet_Fusion,XANG,10,-0.003941091387245188,0.4980294543063774,negligible
Moirai,GUMNet_Fusion,XANG,10,0.0021630506245891024,0.5010815253122946,negligible
Lag_Llama,GUMNet_Fusion,XANG,10,-0.004039710716633782,0.4979801446416831,negligible
TEMPO,GUMNet_Fusion,XANG,10,0.01847337278106509,0.5092366863905325,negligible
GPT4TS,GUMNet_Fusion,XANG,10,0.005361604207757997,0.502680802103879,negligible
Time_MoE,GUMNet_Fusion,XANG,10,0.012603287310979594,0.5063016436554898,negligible
Gated_TabNet,GUMNet_Fusion,XANG,10,0.01727021696252473,0.5086351084812624,negligible
DLinear,GUMNet_Fusion,XANG,20,0.023760888888888942,0.5118804444444445,negligible
RLinear,GUMNet_Fusion,XANG,20,0.022540888888888944,0.5112704444444445,negligible
LTSF_Linear,GUMNet_Fusion,XANG,20,0.04817911111111117,0.5240895555555556,negligible
NBEATS,GUMNet_Fusion,XANG,20,-0.0076051111111110625,0.49619744444444447,negligible
NHits,GUMNet_Fusion,XANG,20,0.03991888888888884,0.5199594444444444,negligible
PatchTST,GUMNet_Fusion,XANG,20,-0.010447111111111074,0.49477644444444446,negligible
TFT,GUMNet_Fusion,XANG,20,0.05281244444444444,0.5264062222222222,negligible
Autoformer,GUMNet_Fusion,XANG,20,0.05773111111111118,0.5288655555555556,negligible
FedFormer,GUMNet_Fusion,XANG,20,0.0010495555555556368,0.5005247777777778,negligible
Informer,GUMNet_Fusion,XANG,20,0.03166777777777785,0.5158338888888889,negligible
Reformer,GUMNet_Fusion,XANG,20,-0.012152222222222231,0.4939238888888889,negligible
iTransformer,GUMNet_Fusion,XANG,20,0.005573999999999968,0.502787,negligible
UniTS,GUMNet_Fusion,XANG,20,0.03781555555555549,0.5189077777777777,negligible
TimeXer,GUMNet_Fusion,XANG,20,0.010683999999999916,0.505342,negligible
Crossformer,GUMNet_Fusion,XANG,20,-0.013232444444444491,0.49338377777777775,negligible
CARD,GUMNet_Fusion,XANG,20,-0.017180666666666622,0.4914096666666667,negligible
TimesNet,GUMNet_Fusion,XANG,20,0.0436037777777778,0.5218018888888889,negligible
TimeMixer,GUMNet_Fusion,XANG,20,0.07129333333333343,0.5356466666666667,negligible
TTM,GUMNet_Fusion,XANG,20,-0.011730444444444488,0.49413477777777776,negligible
FITS,GUMNet_Fusion,XANG,20,-0.005933111111111056,0.49703344444444447,negligible
CoST,GUMNet_Fusion,XANG,20,0.04442511111111114,0.5222125555555556,negligible
TimeMachine,GUMNet_Fusion,XANG,20,0.04841755555555549,0.5242087777777777,negligible
S_Mamba,GUMNet_Fusion,XANG,20,0.05748377777777769,0.5287418888888888,negligible
MambaFormer,GUMNet_Fusion,XANG,20,0.06726355555555563,0.5336317777777778,negligible
BiMamba,GUMNet_Fusion,XANG,20,0.04585244444444436,0.5229262222222222,negligible
Chronos,GUMNet_Fusion,XANG,20,0.010359777777777746,0.5051798888888889,negligible
TimesFM,GUMNet_Fusion,XANG,20,-0.012851777777777795,0.4935741111111111,negligible
Moirai,GUMNet_Fusion,XANG,20,0.009992000000000001,0.504996,negligible
Lag_Llama,GUMNet_Fusion,XANG,20,-0.009802444444444447,0.4950987777777778,negligible
TEMPO,GUMNet_Fusion,XANG,20,0.00734900000000005,0.5036745,negligible
GPT4TS,GUMNet_Fusion,XANG,20,0.06548422222222228,0.5327421111111111,negligible
Time_MoE,GUMNet_Fusion,XANG,20,0.03484822222222217,0.5174241111111111,negligible
Gated_TabNet,GUMNet_Fusion,XANG,20,0.020427555555555532,0.5102137777777778,negligible
DLinear,GUMNet_Fusion,XANG,60,0.1500542091836734,0.5750271045918367,small
RLinear,GUMNet_Fusion,XANG,60,0.050023472930839086,0.5250117364654195,negligible
LTSF_Linear,GUMNet_Fusion,XANG,60,0.13701955782312925,0.5685097789115646,negligible
NBEATS,GUMNet_Fusion,XANG,60,0.20875442885487527,0.6043772144274376,small
NHits,GUMNet_Fusion,XANG,60,0.25120057397959195,0.625600286989796,small
PatchTST,GUMNet_Fusion,XANG,60,0.187782029478458,0.593891014739229,small
TFT,GUMNet_Fusion,XANG,60,0.33607266865079355,0.6680363343253968,medium
Autoformer,GUMNet_Fusion,XANG,60,0.225657419217687,0.6128287096088435,small
FedFormer,GUMNet_Fusion,XANG,60,0.1253447420634921,0.562672371031746,negligible
Informer,GUMNet_Fusion,XANG,60,0.14458510487528353,0.5722925524376418,negligible
Reformer,GUMNet_Fusion,XANG,60,0.1335751488095238,0.5667875744047619,negligible
iTransformer,GUMNet_Fusion,XANG,60,0.11331986961451257,0.5566599348072563,negligible
UniTS,GUMNet_Fusion,XANG,60,0.2037414965986395,0.6018707482993197,small
TimeXer,GUMNet_Fusion,XANG,60,0.08923203656462575,0.5446160182823129,negligible
Crossformer,GUMNet_Fusion,XANG,60,0.09393760629251702,0.5469688031462585,negligible
CARD,GUMNet_Fusion,XANG,60,0.17244029903628122,0.5862201495181406,small
TimesNet,GUMNet_Fusion,XANG,60,0.2872057468820861,0.643602873441043,small
TimeMixer,GUMNet_Fusion,XANG,60,0.09593041383219947,0.5479652069160997,negligible
TTM,GUMNet_Fusion,XANG,60,0.11334520266439907,0.5566726013321995,negligible
FITS,GUMNet_Fusion,XANG,60,0.14307079081632645,0.5715353954081632,negligible
CoST,GUMNet_Fusion,XANG,60,0.25296662414965976,0.6264833120748299,small
TimeMachine,GUMNet_Fusion,XANG,60,0.13101332199546478,0.5655066609977324,negligible
S_Mamba,GUMNet_Fusion,XANG,60,0.17532366071428562,0.5876618303571428,small
MambaFormer,GUMNet_Fusion,XANG,60,0.26723391439909294,0.6336169571995465,small
BiMamba,GUMNet_Fusion,XANG,60,0.1526378259637189,0.5763189129818594,small
