model,target,horizon,MAE,RMSE,MAPE,sMAPE,R2,MASE,DA,crps,PICP,PINAW
GUMNet_Mamba,XANG,60,6.858534,13.57268,6.993,7.5054,-0.082776,2.000389,48.15,5.14374,89.02,22.1957
GUMNet_Mamba,XANG,7,4.567726,8.328045,4.1608,4.2561,0.899026,1.12771,50.34,,72.79,11.4813
GUMNet_MoE_Sparse,DAU,10,10.063491,20.318104,6.7645,6.9765,0.807923,2.8399,46.14,7.901273,64.49,13.3782
GUMNet_MoE_Sparse,DAU,1,5.864309,11.2487,3.4068,3.4234,0.963055,1.030225,61.11,,63.5,9.0191
GUMNet_MoE_Sparse,DAU,20,12.351861,26.162512,8.762,8.7629,0.565482,4.52474,48.33,9.877035,72.17,17.3212
GUMNet_MoE_Sparse,DAU,3,9.223287,18.456603,5.4837,5.4858,0.900996,1.655615,45.41,6.93368,60.61,13.4673
GUMNet_MoE_Sparse,DAU,5,9.25744,16.672934,5.6869,5.818,0.918834,1.62632,46.46,6.314554,68.0,19.1749
GUMNet_MoE_Sparse,DAU,60,9.533026,23.67115,8.0957,8.8503,-0.115127,5.904147,48.6,7.42514,84.08,22.5961
GUMNet_MoE_Sparse,DAU,7,10.906264,21.878173,7.0467,7.0813,0.819536,2.667013,53.08,8.582249,60.88,13.8117
GUMNet_MoE_Sparse,XANG,10,5.01328,10.15104,4.6275,4.8843,0.812915,1.398397,43.44,3.594935,76.79,9.7552
GUMNet_MoE_Sparse,XANG,1,3.221123,5.860007,2.7901,2.7847,0.962934,0.666767,53.03,2.338378,67.0,6.0895
GUMNet_MoE_Sparse,XANG,20,5.863547,11.377681,5.6293,5.9154,0.680567,1.972517,50.17,4.16453,78.17,13.7104
GUMNet_MoE_Sparse,XANG,3,5.088237,8.831468,4.509,4.5518,0.915395,1.054884,45.92,3.472369,70.71,11.6579
GUMNet_MoE_Sparse,XANG,5,5.565602,9.339215,4.9485,5.1599,0.905855,1.152071,42.93,,68.0,11.5152
GUMNet_MoE_Sparse,XANG,60,6.911654,13.601153,7.1147,7.6828,-0.087323,2.015882,47.65,5.09546,87.11,19.9648
GUMNet_MoE_Sparse,XANG,7,4.996247,9.330331,4.4799,4.5763,0.873258,1.233506,44.86,,74.15,10.2572
GUMNet_Patch,DAU,10,9.490762,19.397653,6.4142,6.6174,0.824932,2.678277,52.31,7.027188,70.51,15.097
GUMNet_Patch,DAU,1,5.907462,11.450835,3.4129,3.415,0.961715,1.037806,58.59,,66.5,9.0661
GUMNet_Patch,DAU,20,12.681666,27.246663,8.9084,8.8791,0.528724,4.645554,48.83,9.971702,70.33,18.4623
GUMNet_Patch,DAU,3,8.941487,16.892774,5.4072,5.422,0.917062,1.605031,47.96,6.710963,65.66,14.7697
GUMNet_Patch,DAU,5,9.943824,17.04417,5.9633,6.1631,0.915179,1.746902,55.56,7.263824,61.5,17.1387
