Concurrent run started: 2026-08-17T01:54:25.428070
GPU: 2 | Models: 47 | Jobs: 658

[ 116/658]  17.6% | OK:116  FAIL:0    SKIP:0   | OK           | 3139s | ETA:18649m | S_Mamba|XANG|H5|s2025
[ 117/658]  17.8% | OK:117  FAIL:0    SKIP:0   | OK           | 2874s | ETA:18522m | Chronos|XANG|H5|s2025
[ 118/658]  17.9% | OK:118  FAIL:0    SKIP:0   | OK           | 2649s | ETA:18339m | TimesFM|XANG|H5|s2025
[ 119/658]  18.1% | OK:119  FAIL:0    SKIP:0   | OK           | 3713s | ETA:18173m | MambaFormer|XANG|H5|s2025
[ 120/658]  18.2% | OK:120  FAIL:0    SKIP:0   | OK           | 2967s | ETA:17991m | Moirai|XANG|H5|s2025
[ 121/658]  18.4% | OK:121  FAIL:0    SKIP:0   | OK           | 5864s | ETA:17853m | TimeMachine|XANG|H5|s2025
[ 122/658]  18.5% | OK:122  FAIL:0    SKIP:0   | OK           | 2629s | ETA:17728m | Lag_Llama|XANG|H5|s2025
[ 123/658]  18.7% | OK:123  FAIL:0    SKIP:0   | OK           | 5460s | ETA:17608m | BiMamba|XANG|H5|s2025
[ 124/658]  18.8% | OK:124  FAIL:0    SKIP:0   | OK           | 2664s | ETA:17449m | GPT4TS|XANG|H5|s2025
[ 125/658]  19.0% | OK:125  FAIL:0    SKIP:0   | OK           | 2773s | ETA:17278m | TEMPO|XANG|H5|s2025
[ 126/658]  19.1% | OK:126  FAIL:0    SKIP:0   | OK           | 2616s | ETA:17127m | Gated_TabNet|XANG|H5|s2025
[ 127/658]  19.3% | OK:127  FAIL:0    SKIP:0   | OK           | 4519s | ETA:17090m | Time_MoE|XANG|H5|s2025
[ 128/658]  19.5% | OK:128  FAIL:0    SKIP:0   | OK           | 4759s | ETA:16985m | GUMNet|XANG|H5|s2025
[ 129/658]  19.6% | OK:129  FAIL:0    SKIP:0   | OK           | 9970s | ETA:17228m | GUMNet_Mamba|XANG|H5|s2025
[ 130/658]  19.8% | OK:130  FAIL:0    SKIP:0   | OK           | 9321s | ETA:17088m | GUMNet_Patch|XANG|H5|s2025
[ 131/658]  19.9% | OK:131  FAIL:0    SKIP:0   | OK           | 10517s | ETA:16991m | GUMNet_iTrans|XANG|H5|s2025
[ 132/658]  20.1% | OK:132  FAIL:0    SKIP:0   | OK           | 10106s | ETA:16835m | GUMNet_Fourier|XANG|H5|s2025
[ 133/658]  20.2% | OK:133  FAIL:0    SKIP:0   | OK           | 10492s | ETA:16684m | GUMNet_Wavelet|XANG|H5|s2025
[ 134/658]  20.4% | OK:134  FAIL:0    SKIP:0   | OK           | 9847s | ETA:16683m | GUMNet_Graph|XANG|H5|s2025
[ 135/658]  20.5% | OK:135  FAIL:0    SKIP:0   | OK           | 10902s | ETA:16539m | GUMNet_Diffusion|XANG|H5|s2025
[ 136/658]  20.7% | OK:136  FAIL:0    SKIP:0   | OK           | 2240s | ETA:16518m | GUMNetHet|XANG|H5|s2025
[ 137/658]  20.8% | OK:137  FAIL:0    SKIP:0   | OK           | 2593s | ETA:16400m | DLinear|XANG|H7|s2025
[ 138/658]  21.0% | OK:138  FAIL:0    SKIP:0   | OK           | 8683s | ETA:16376m | GUMNet_RL|XANG|H5|s2025
[ 139/658]  21.1% | OK:139  FAIL:0    SKIP:0   | OK           | 2617s | ETA:16265m | LTSF_Linear|XANG|H7|s2025
[ 140/658]  21.3% | OK:140  FAIL:0    SKIP:0   | OK           | 8306s | ETA:16144m | GUMNet_Decomp|XANG|H5|s2025
[ 141/658]  21.4% | OK:141  FAIL:0    SKIP:0   | OK           | 4231s | ETA:16038m | RLinear|XANG|H7|s2025
[ 142/658]  21.6% | OK:142  FAIL:0    SKIP:0   | OK           | 2520s | ETA:15945m | NBEATS|XANG|H7|s2025
[ 143/658]  21.7% | OK:143  FAIL:0    SKIP:0   | OK           | 10078s | ETA:15816m | GUMNet_Fusion|XANG|H5|s2025
[ 144/658]  21.9% | OK:144  FAIL:0    SKIP:0   | OK           | 9978s | ETA:15680m | GUMNet_Adaptive|XANG|H5|s2025
[ 145/658]  22.0% | OK:145  FAIL:0    SKIP:0   | OK           | 2621s | ETA:15566m | NHits|XANG|H7|s2025
[ 146/658]  22.2% | OK:146  FAIL:0    SKIP:0   | OK           | 3432s | ETA:15502m | PatchTST|XANG|H7|s2025
[ 147/658]  22.3% | OK:147  FAIL:0    SKIP:0   | OK           | 2918s | ETA:15374m | TFT|XANG|H7|s2025
[ 148/658]  22.5% | OK:148  FAIL:0    SKIP:0   | OK           | 2235s | ETA:15249m | Autoformer|XANG|H7|s2025
[ 149/658]  22.6% | OK:149  FAIL:0    SKIP:0   | OK           | 13128s | ETA:15120m | GUMNet_MoE_Sparse|XANG|H5|s2025
[ 150/658]  22.8% | OK:150  FAIL:0    SKIP:0   | OK           | 2087s | ETA:14990m | FedFormer|XANG|H7|s2025
[ 151/658]  22.9% | OK:151  FAIL:0    SKIP:0   | OK           | 2522s | ETA:14891m | Informer|XANG|H7|s2025
[ 152/658]  23.1% | OK:152  FAIL:0    SKIP:0   | OK           | 2217s | ETA:14770m | Reformer|XANG|H7|s2025
